name,partisan_score,hashtags
Donald Norcross,0,"{'IStandWithYou', 'workplace', 'BetsyDeVos'}"
Jim Cooper,0,{'DEA'}
Steve Cohen,0,"{'NetNeutrality', 'Internetprivacy', 'consumerprotection', 'FCC', 'GOP', 'CambridgeAnalytics'}"
Mario Diaz-Balart,1,{'freetaxprep'}
Suzanne Bonamici,0,{'highered'}
Mark Takano,0,{'highered'}
Susan W. Brooks,1,{'OpioidCrisis'}
Joe Wilson,1,{'TaxCutsandJobsAct'}
Steve Stivers,1,{'FamilyCaregiversAct'}
Bennie G. Thompson,0,{'AfterWords'}
John Garamendi,0,{'DACA'}
Justin Amash,1,{'CivilAssetForfeiture'}
John Garamendi,0,{'POTUS'}
Joe Wilson,1,{'TaxCutsandJobsAct'}
Eliot Engel,0,"{'LightItUpBlue', 'WorldAutismAwarenessDay'}"
Ken Calvert,1,"{'autism', 'autismacceptance', 'myautism', 'autismawareness'}"
Gus Bilirakis,1,{'CARA'}
Ken Calvert,1,{'autismawareness'}
Dina Titus,0,{'DACA'}
Bennie G. Thompson,0,{'WinnieMandela'}
Sean Patrick Maloney,0,"{'autism', 'autismawareness'}"
Albio Sires,0,{'WorldAutismAwarenessDay'}
Will Hurd,1,"{'NationalChampionship', 'SanAntonio'}"
Sheila Jackson Lee,0,"{'Lordandtaylor', 'SaksFifthAvenue'}"
Joaquin Castro,0,{'DACA'}
Joaquin Castro,0,{'MTPDaily'}
Ken Calvert,1,{'WorldAutismAwarenessDay'}
Joaquin Castro,0,"{'DACA', 'Putin'}"
Sheila Jackson Lee,0,{'eastereggroll2018'}
Sheila Jackson Lee,0,{'Dreamers'}
Mike Kelly,1,{'renewables'}
Hakeem Jeffries,0,{'ABetterDeal'}
Sheila Jackson Lee,0,{'WinnieMandela'}
Justin Amash,1,{'GoBlue'}
Mike Kelly,1,"{'renewables', 'ActOnClimate', 'cdnpoli'}"
Richard Hudson,1,{'USArmy'}
Richard Hudson,1,{'TaxCutsandJobsAct'}
Katherine Clark,0,{'Atlanta'}
Katherine Clark,0,"{'youthprevention', 'socialworkers', 'opioidcrisis'}"
Dina Titus,0,{'houseappchallenge'}
Mark DeSaulnier,0,"{'MLK50', 'Memphis', 'MLK'}"
Sean Patrick Maloney,0,{'Westchester'}
Nancy Pelosi,0,{'EndGunViolence'}
Steve Cohen,0,"{'Memphis', 'CivilRights'}"
Jackie Speier,0,{'EndGunViolence'}
Susan W. Brooks,1,{'IN05'}
Susan W. Brooks,1,{'schoolsafety'}
Sheila Jackson Lee,0,"{'MLK50', 'MLK50NCRM', 'MLK50Forward'}"
Sheila Jackson Lee,0,"{'smallbusiness', 'communityboost'}"
Donald Norcross,0,"{'MLK', 'CivilRightsMovement'}"
Susan W. Brooks,1,"{'RFK', 'MLK'}"
Mike Quigley,0,"{'LGBTQ', 'equality', 'MeToo', 'Dreamers', 'MLK50'}"
Grace Meng,0,{'MLK50'}
Suzanne Bonamici,0,{'MLK50'}
Steve Cohen,0,"{'Memphis', 'MLK', 'MartinLutherKing'}"
James E. Clyburn,0,"{'MLK', 'SNCC'}"
Mark DeSaulnier,0,{'MLK50'}
Dina Titus,0,"{'ACA', 'NPHW'}"
Markwayne Mullin,1,{'BOLD'}
Sean Patrick Maloney,0,{'Westchester'}
Jim Cooper,0,{'MLK50'}
Judy Chu,0,{'MLK50'}
Tom Graves,1,{'MLK50'}
Joaquin Castro,0,{'MLK50'}
Albio Sires,0,{'MLK50'}
Seth Moulton,0,{'MLK50'}
Susan W. Brooks,1,{'MLK50'}
Grace Meng,0,{'Census2020'}
Jackie Walorski,1,{'IP'}
Robin Kelly,0,{'OTD'}
Susan W. Brooks,1,{'KennedyKing50'}
Thomas Massie,1,{'sassywithmassie'}
Bobby L. Rush,0,"{'NATO', 'OTD'}"
Susan W. Brooks,1,{'Hoosier'}
Susan W. Brooks,1,{'Hoosiers'}
Susan W. Brooks,1,{'mlk'}
Steve Cohen,0,"{'HRes621', 'Impeachment', 'Memphis'}"
Robin Kelly,0,{'HCASC'}
Michael McCaul,1,{'OTD'}
Mario Diaz-Balart,1,"{'Venezuela', 'Cuba'}"
John Garamendi,0,{'GoldStarSpousesDay'}
Tom Emmer,1,{'livestreaming'}
Nancy Pelosi,0,{'AllowTheVote'}
Steve Cohen,0,"{'Memphis', 'MLKJr'}"
Steve Cohen,0,"{'MLK50', 'Memphis', 'MLK'}"
Judy Chu,0,{'AllowTheVote'}
Bill Johnson,1,{'LiveOnNews9'}
Rosa DeLauro,0,{'Hamden'}
Mark Walker,1,"{'feeding', 'communityheroaward'}"
Mark Walker,1,{'AGGIEPRIDE'}
Nancy Pelosi,0,{'ProtectDREAMers'}
Katherine Clark,0,"{'MA', 'publicschools'}"
Jeff Fortenberry,1,{'GoldStarSpousesDay'}
Katherine Clark,0,"{'openingday', 'RedSoxNation'}"
Joaquin Castro,0,"{'WithRefugees', 'WhereRtheRefugees'}"
Sean Patrick Maloney,0,"{'ArcticRefuge', 'ProtectTheArctic'}"
John Garamendi,0,{'IfItsThursday'}
Katherine Clark,0,{'tweet'}
Katherine Clark,0,"{'opioidepidemic', 'bipartisan'}"
Brenda Lawrence,0,"{'RethinkDiscipline', 'InClassNotCuffs'}"
John Garamendi,0,"{'IfItsTursday', 'MTPDaily'}"
John Garamendi,0,{'MTPDaily'}
Robin Kelly,0,{'NationalDeepDishPizzaDay'}
Steve Cohen,0,{'Memphis'}
John Garamendi,0,{'MTPDaily'}
Scott DesJarlais,1,{'GoldStarSpousesDay'}
Robin Kelly,0,"{'farmers', 'TrumpTradeWar'}"
James E. Clyburn,0,"{'ClyburnLecture', 'ChaosOrCommunity'}"
Robin Kelly,0,"{'TrumpTariffs', 'TrumpTradeWar', 'twill', 'farmers'}"
James E. Clyburn,0,"{'ClyburnLecture', 'ChaosOrCommunity'}"
Joaquin Castro,0,"{'Skripal', 'UnitedKingdom', 'SkripalCase'}"
Joaquin Castro,0,"{'Mueller', 'Russia', 'Putin'}"
Joaquin Castro,0,"{'Skripal', 'Putin'}"
Joaquin Castro,0,{'Putin'}
Joe Wilson,1,{'taxreform'}
Louie Gohmert,1,{'BorderSecurity'}
Joaquin Castro,0,"{'Japan', 'India'}"
Bobby L. Rush,0,"{'mortgage', 'Homeowners', 'Chicago'}"
Sheila Jackson Lee,0,{'PollutingPruitt'}
Jim Cooper,0,{'HCASC'}
Joaquin Castro,0,{'txlege'}
Richard Hudson,1,{'MonthOfTheMilitaryChild'}
Eliot Engel,0,{'BigOil'}
Donald Norcross,0,"{'PruittHasToGo', 'PruittMustGo', 'BootPruitt', 'PruittMustResign'}"
Steve Cohen,0,"{'MLK50', 'Memphis', 'CivilRights', 'UniversalHealthCare'}"
Jackie Speier,0,{'Farenthold'}
Sheila Jackson Lee,0,{'IAM2018'}
Steve Cohen,0,"{'Jewish', 'Memphis', 'CivilRights', 'Israel', 'MLK'}"
Katherine Clark,0,"{'EnoughisEnough', 'gunviolence', 'TownHallforOurLives', 'Natick', 'MA', 'NeverAgain'}"
Katherine Clark,0,{'gunviolence'}
Katherine Clark,0,"{'Natick', 'US', 'TownHallForOurLives'}"
Katherine Clark,0,"{'EnoughisEnough', 'gunviolence', 'NeverAgain', 'TownHallForOurLives'}"
Katherine Clark,0,"{'EnoughisEnough', 'TownHallforOurLives'}"
Katherine Clark,0,"{'MA5', 'Natick', 'TownHallForOurLives'}"
Katherine Clark,0,"{'EnoughisEnough', 'NeverAgain', 'TownHallForOurLives'}"
John Garamendi,0,{'Pruitt'}
José E. Serrano,0,"{'PuertoRico', 'USVI'}"
Steve Cohen,0,"{'Pruitt', 'PollutingPruitt'}"
Adam Kinzinger,1,"{'Syria', 'Douma', 'Assad'}"
Mike Kelly,1,"{'ClimateChange', 'insiders'}"
Joaquin Castro,0,{'Douma'}
Michael McCaul,1,"{'NationalGuard', 'Syria', 'Border'}"
Lloyd Doggett,0,"{'home', 'smiles'}"
Grace Meng,0,{'OrthodoxEaster'}
Joaquin Castro,0,"{'China', 'Syria'}"
Thomas Massie,1,{'Constitution'}
Lloyd Doggett,0,"{'townhallforourlivesATX', 'Vote', 'GunReformNow'}"
Lloyd Doggett,0,"{'SAAM', 'SupportSurvivors', 'BreakTheSilence'}"
Kevin McCarthy,1,{'Syria'}
Steve Cohen,0,"{'ScottPruitt', 'EPA'}"
Louie Gohmert,1,{'NationalFormerPOWRecognitionDay'}
Kevin McCarthy,1,{'TaxCutsandJobsAct'}
Steve Cohen,0,"{'Memphis', 'COYC'}"
Robin Kelly,0,{'Syria'}
Joe Wilson,1,"{'family', 'military'}"
Thomas Massie,1,{'sassywithmassie'}
Eliot Engel,0,{'Facebook'}
Kevin McCarthy,1,"{'TaxCutsandJobsAct', 'TaxReform'}"
Joaquin Castro,0,{'Douma'}
Nancy Pelosi,0,{'GOPTaxScam'}
Joaquin Castro,0,{'SanAntonio'}
Mike Quigley,0,"{'IL', 'Illinois'}"
Dina Titus,0,"{'drugcontrol', 'cannabis'}"
Nancy Pelosi,0,{'FollowTheFacts'}
Raul Ruiz,0,"{'NationalLibraryWeek', 'LibrariesLead'}"
Donald Norcross,0,{'EqualPayDay'}
Nancy Pelosi,0,{'EqualPayDay'}
Rosa DeLauro,0,{'EqualPayDay'}
Lloyd Doggett,0,{'EqualPayDay'}
Marcy Kaptur,0,{'EqualPayDay'}
Joyce Beatty,0,{'EqualPayDay'}
Katherine Clark,0,{'EqualPayDay'}
Robin Kelly,0,{'EqualPayDay'}
Mark Walker,1,{'HBCU'}
Mark DeSaulnier,0,{'EqualPayDay'}
Bill Johnson,1,{'Facebook'}
Judy Chu,0,"{'wagegap', 'EqualPayDay'}"
Eliot Engel,0,"{'PaycheckFairnessAct', 'EqualPayDay'}"
Eliot Engel,0,{'EqualPayDay'}
Susan W. Brooks,1,{'TaxCutsandJobsAct'}
Eliot Engel,0,"{'PaycheckFairnessAct', 'EqualPayDay'}"
Jeff Fortenberry,1,{'privacy'}
Tom Emmer,1,"{'MnHighTechSpring', 'blockchain'}"
Mark Takano,0,{'internationalchartday'}
Albio Sires,0,{'Trump'}
Steve Scalise,1,{'steel'}
Dina Titus,0,{'PinkTax'}
Grace Meng,0,"{'equalpayday', 'EqualPayDay', 'talkpay'}"
Suzanne Bonamici,0,{'EqualPay'}
Raul Ruiz,0,"{'EqualPayDay', 'EqualPay'}"
Rosa DeLauro,0,"{'PaycheckFairnessAct', 'wagegap'}"
Louie Gohmert,1,"{'bordersecurity', 'MuellerInvestigation'}"
Joaquin Castro,0,"{'PaycheckFairnessAct', 'EqualPayDay', 'Equalpay'}"
Rosa DeLauro,0,"{'childcare', 'raisethewage', 'EqualPay', 'paidleave', 'paidsickdays', 'PaycheckFairnessAct'}"
Katherine Clark,0,"{'DYK', 'PassEqualPayAct', 'EqualPayDay', 'MeToo'}"
Joaquin Castro,0,"{'ProtectDreamers', 'Dreamers', 'DreamActNow'}"
Kevin McCarthy,1,{'TaxReform'}
Alcee L. Hastings,0,"{'EqualPayDay', 'Equalpay'}"
Kevin McCarthy,1,{'TaxCutsandJobsAct'}
Mark DeSaulnier,0,"{'childcare', 'raisethewage', 'EqualPay', 'paidleave', 'paidsickdays', 'PaycheckFairnessAct', 'EqualPayDay'}"
Joaquin Castro,0,"{'Venezuela', 'Burma', 'NorthKorea', 'Syria', 'Trump'}"
Mario Diaz-Balart,1,{'Cuba'}
Nancy Pelosi,0,{'EqualPayDay'}
Dina Titus,0,"{'EqualPayDay', 'EqualPay'}"
Alcee L. Hastings,0,"{'childcare', 'raisethewage', 'EqualPay', 'paidleave', 'paidsickdays', 'PaycheckFairnessAct', 'EqualPayDay'}"
Mario Diaz-Balart,1,{'SummitPeru'}
Jackie Speier,0,{'EqualPayDay'}
Ruben Gallego,0,"{'PaycheckFairnessAct', 'EqualPayDay'}"
Brenda Lawrence,0,"{'EqualPayDay', 'equalpay'}"
Richard Hudson,1,{'TaxCutsandJobsAct'}
Mark Walker,1,"{'coopsinDC', 'ncpol'}"
Raul Ruiz,0,{'EqualPayDay'}
Ann Wagner,1,{'FOSTA'}
Steve Cohen,0,{'Memphis'}
Denny Heck,0,{'EqualPayDay'}
Earl Blumenauer,0,{'EqualPayDay'}
Dina Titus,0,"{'HRes128', 'Ethiopia'}"
Adam Kinzinger,1,"{'Zuckerberg', 'FacebookLive', 'fakenews'}"
Joe Wilson,1,{'ACUFrating'}
Katherine Clark,0,{'mapoli'}
Joyce Beatty,0,"{'FinLitMonth', 'afinlitfuture'}"
Bill Johnson,1,"{'Syria', 'Facebook'}"
Mike Rogers,1,"{'BorderWall', 'Syria', 'Facebook'}"
Joaquin Castro,0,"{'Burma', 'Iraq', 'Syria', 'Yazidis', 'Rohingya', 'ISIS'}"
Joaquin Castro,0,{'HolocaustMemorialDay'}
Virginia Foxx,1,"{'ENDHumanTrafficking', 'FOSTA'}"
James E. Clyburn,0,"{'amoreperfectunion', 'FairHousingAct'}"
Hakeem Jeffries,0,{'ABetterDeal'}
Joyce Beatty,0,{'FLM2018'}
Bennie G. Thompson,0,{'Medicare'}
Tom Graves,1,{'IRS'}
Kevin McCarthy,1,{'MAGA'}
Alcee L. Hastings,0,{'FairHousingis50'}
Bobby L. Rush,0,"{'Zuckerberg', 'Facebook'}"
Mark Walker,1,"{'BBA', 'cjreform'}"
Bobby L. Rush,0,{'Zuckberberg'}
Bobby L. Rush,0,{'MarkZuckerberg'}
Louie Gohmert,1,"{'FBI', 'PaulRyan'}"
John Garamendi,0,{'Zuckerberg'}
Joyce Beatty,0,"{'CFPB', 'OMB'}"
Richard Hudson,1,{'ZuckerbergHearing'}
Eliot Engel,0,{'Zuckerberg'}
Ann Wagner,1,"{'FOSTA', 'SESTA'}"
Ann Wagner,1,{'FOSTA'}
Seth Moulton,0,{'November6'}
Bobby L. Rush,0,{'Zuckerberg'}
Bobby L. Rush,0,{'Zuckerberg'}
Sean Patrick Maloney,0,"{'GOP', 'PaulRyan'}"
Tom Emmer,1,{'HMDAA'}
Eliot Engel,0,{'ZuckHearings'}
Susan W. Brooks,1,{'ZuckerbergHearing'}
Joyce Beatty,0,{'GOPTaxBill'}
Adam Kinzinger,1,{'SubHealth'}
Bobby L. Rush,0,"{'Zuckerberg', 'Facebook'}"
Michael McCaul,1,{'endtrafficking'}
Mark Walker,1,{'NAEP'}
Sheila Jackson Lee,0,{'ABetterDeal'}
Suzanne Bonamici,0,"{'IntlMHDay', 'MaternalDeath'}"
Ann Wagner,1,"{'FOSTA', 'EndTrafficking'}"
John Garamendi,0,{'HR1625'}
Albio Sires,0,"{'SLM18', 'LibrariesTransform', 'NLW18'}"
Hakeem Jeffries,0,"{'ABetterDeal', 'Resist'}"
Justin Amash,1,{'HJRes2'}
Brenda Lawrence,0,"{'2020Census', 'SaveTheCensus'}"
Mark DeSaulnier,0,{'Inequality'}
Brenda Lawrence,0,{'WillYouCount'}
Steve Cohen,0,"{'ResistTrump', 'Memphis', 'TheLawIsComing'}"
Steve Cohen,0,"{'TheLawIsComing', 'JusticeIsComing', 'TrumpRussia'}"
Ann Wagner,1,{'FOSTA'}
Susan W. Brooks,1,"{'bipartisan', 'lawenforcement', 'EndTrafficking', 'FOSTA'}"
Grace Meng,0,"{'WeRemember', 'HolocaustRemembranceDay'}"
Mike Quigley,0,"{'immigration', 'IntlStudents', 'YouAreWelcomeHere', 'HigherEd', 'IntlEd'}"
Grace Meng,0,{'NeverAgain'}
Lloyd Doggett,0,"{'VITAworks', 'TXUNITED', 'UWAdvocate'}"
Joe Wilson,1,"{'SECDEF', 'CJCS'}"
Alcee L. Hastings,0,{'HolocaustRemembranceDay'}
David Rouzer,1,"{'HolocaustRemembranceDay', 'YomHaShoah', 'NeverAgain'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Scott DesJarlais,1,{'HolocaustRememberanceDay'}
Sheila Jackson Lee,0,{'ProjectProm'}
Tom Emmer,1,"{'WeRemember', 'HolocaustRemembranceDay'}"
Robin Kelly,0,"{'HolocaustRemembranceDay', 'YomHashoah', 'NeverAgain'}"
Katherine Clark,0,"{'Medicaid', 'OpioidEpidemic'}"
Jim Cooper,0,"{'WeWantTheCup', 'StandWithUs', 'Smashville'}"
Tom Emmer,1,{'farmbill'}
Joyce Beatty,0,"{'FinLit', 'FLM2018', 'FLHillDay'}"
Richard Hudson,1,"{'MonthoftheMilitaryChild', 'PurpleUp'}"
Sheila Jackson Lee,0,"{'SpecialCounsel', 'HR3654', 'HR5674'}"
Steve Cohen,0,{'Trump'}
Mark Walker,1,{'HolocaustRemembranceDay'}
Joe Wilson,1,{'TaxCutsandJobsAct'}
Albio Sires,0,"{'YomHashoah', 'HolocaustRemembranceDay'}"
Albio Sires,0,{'NJ08'}
Brian Higgins,0,{'VeggieVan'}
Jim Cooper,0,"{'RankedChoiceVoting', 'FairRepAct'}"
Katherine Clark,0,{'TaxScamBill'}
Tom Emmer,1,"{'mnleg', 'mnbroadband'}"
Ann Wagner,1,{'FOSTA'}
Ann Wagner,1,"{'FOSTA', 'BigTech'}"
Mark Takano,0,{'HolocaustRemembranceDay'}
Hakeem Jeffries,0,"{'NeverAgain', 'YomHaShoah'}"
Joe Wilson,1,{'Swiss'}
Richard Hudson,1,{'WeRemember'}
Mike Quigley,0,"{'THUD', 'appropriations', 'infrastructure', 'transportation'}"
Joyce Beatty,0,"{'FLM2018', 'TipOfTheDay'}"
David Rouzer,1,"{'NorthCarolina', 'FarmBill'}"
Mario Diaz-Balart,1,{'NeverAgain'}
James E. Clyburn,0,"{'Medicare', 'Medicaid', 'SocialSecurity', 'GOPTaxScam'}"
David Rouzer,1,"{'NC', 'ncga', 'agriculture', 'ncpol'}"
Joaquin Castro,0,{'FarmBill'}
Joaquin Castro,0,{'UnitedKingdom'}
John Garamendi,0,{'Syria'}
Mike Quigley,0,{'a2j'}
Mark Walker,1,{'BBA'}
Seth Moulton,0,"{'FlipTheHouse', 'PA18', 'November6'}"
Earl Blumenauer,0,{'FarmBill'}
Steve Cohen,0,"{'ElieWiesel', 'HolocaustRemembranceDay'}"
Seth Moulton,0,{'HolocaustRemembranceDay'}
Gary Palmer,1,{'MLK50'}
Bill Foster,0,{'climatechange'}
Nancy Pelosi,0,{'climatechange'}
David Scott,0,{'JobsFair'}
Suzanne Bonamici,0,{'climatechange'}
Katherine Clark,0,{'earlyed'}
Dina Titus,0,{'protectDREAMers'}
Tom Reed,1,{'TownHall'}
David Rouzer,1,"{'2018FarmBill', 'HouseAg', 'FarmBill'}"
Eliot Engel,0,{'LGBTQ'}
Marcy Kaptur,0,{'GOPTaxScam'}
Jeff Fortenberry,1,"{'2018FarmBill', 'FarmBillFriday'}"
Louie Gohmert,1,{'Congress'}
David Rouzer,1,"{'ag', 'USTR', 'USDA', 'pork'}"
David Rouzer,1,{'FarmBillFriday'}
Ken Calvert,1,{'AffordableHousing'}
Susan W. Brooks,1,"{'TaxCutsandJobsAct', 'Smallbiz'}"
Mark Walker,1,"{'SecondChances', 'SecondChanceMonth'}"
Steve King,1,{'Winning'}
Gus Bilirakis,1,{'Canada'}
Joyce Beatty,0,"{'FLM2018', 'QuoteOfTheWeek'}"
Nancy Pelosi,0,{'SocialSecurity'}
Steve Cohen,0,"{'Trumps', 'Comey'}"
Sheila Jackson Lee,0,{'BREAKING'}
Steve Cohen,0,"{'Trump', 'ScooterLibby'}"
Mo Brooks,1,{'alpolitics'}
Mario Diaz-Balart,1,{'Florida'}
Brian Higgins,0,{'tearitdown'}
Adam Kinzinger,1,"{'Syria', 'Assad'}"
Jeff Fortenberry,1,{'Syria'}
John Garamendi,0,{'Syria'}
John Garamendi,0,{'Syria'}
Thomas Massie,1,{'sassywithmassie'}
Thomas Massie,1,{'notmyking'}
John Garamendi,0,"{'Syria', 'AUMF'}"
Tom Reed,1,{'Syria'}
Hakeem Jeffries,0,{'Syria'}
Mike Quigley,0,{'AUMF'}
Mike Quigley,0,{'Syria'}
Mike Quigley,0,"{'ScienceMatters', 'science', 'HR1358'}"
Ann Wagner,1,{'SummitOfTheAmericas'}
Grace Meng,0,"{'Sikh', 'Vaisakhi'}"
Bobby L. Rush,0,{'MarchforScience'}
John Garamendi,0,{'Syria'}
Joaquin Castro,0,{'Texas'}
André Carson,0,{'Syria'}
David Rouzer,1,{'Syria'}
David Rouzer,1,{'Syria'}
David Rouzer,1,{'SyriaStrike'}
Susan W. Brooks,1,{'Vaisakhi'}
Adam Kinzinger,1,"{'Syria', 'Assad', 'ISIS'}"
John Garamendi,0,{'Syria'}
Dina Titus,0,{'MarchForScienceLasVegas'}
Joaquin Castro,0,{'AfterWords'}
Joaquin Castro,0,{'SyriaStrikes'}
Joyce Beatty,0,{'FinancialLiteracyMonth'}
Eliot Engel,0,{'FDNY'}
Sean Patrick Maloney,0,{'HudsonValley'}
Louie Gohmert,1,{'Comey'}
Louie Gohmert,1,"{'bodersecurity', 'comeyinterview'}"
Steve Cohen,0,{'Cohen'}
Alcee L. Hastings,0,{'BMHW18'}
Joaquin Castro,0,{'txlege'}
Joe Wilson,1,{'TaxDay'}
Rosa DeLauro,0,"{'BREAKING', 'BostonMarathon'}"
Doug Collins,1,{'TaxDay'}
Sheila Jackson Lee,0,{'BarbaraBush'}
Ann Wagner,1,{'TaxDay'}
Mario Diaz-Balart,1,"{'taxreform', 'FL25', 'TaxCutsandJobsAct'}"
Mario Diaz-Balart,1,"{'Venezuela', 'Cuba', 'FL25'}"
Martha Roby,1,{'TaxCutsandJobsAct'}
Mario Diaz-Balart,1,"{'FL25', 'TaxCutsandJobsAct'}"
Mario Diaz-Balart,1,"{'Hialeah', 'TaxCutsandJobsAct'}"
Mario Diaz-Balart,1,{'TaxCutsandJobsAct'}
Steve Cohen,0,"{'Mueller', 'Rosenstein'}"
Brenda Lawrence,0,"{'DrainTheSwamp', 'GOPTaxScam'}"
Mario Diaz-Balart,1,{'Hialeah'}
Mario Diaz-Balart,1,"{'taxreform', 'TaxCutsandJobsAct'}"
Susan W. Brooks,1,{'TaxDay'}
Thomas Massie,1,{'sassywithmassie'}
Sean Patrick Maloney,0,{'RipVanWinkle'}
Steve Cohen,0,"{'JeffSessions', 'marijuana'}"
Robin Kelly,0,"{'gunviolence', 'NeverAgain', 'VTWeRemember'}"
Mark Walker,1,{'Turkey'}
Katherine Clark,0,"{'ScottPruitt', 'illicit', 'climatechange', 'Americans'}"
Adam Kinzinger,1,{'NationalVolunteerWeek'}
Robin Kelly,0,{'BMHW18'}
Jackie Speier,0,"{'Cohens3rdClient', 'Hannity'}"
Mike Kelly,1,{'VRET'}
Mike Kelly,1,"{'solar', 'renewable'}"
Mike Kelly,1,{'solar'}
Mark Walker,1,"{'charity', 'TaxDay', 'ProtectGiving'}"
Rob Woodall,1,{'gapol'}
David Rouzer,1,"{'TaxDay', 'taxreform'}"
Robin Kelly,0,"{'NationalVolunteerWeek', 'IL02Proud'}"
Nancy Pelosi,0,"{'TaxDay', 'GOPTaxScam'}"
Joaquin Castro,0,{'Russia'}
Brenda Lawrence,0,"{'TaxDay', 'GOPTaxScam'}"
Donald Norcross,0,"{'TaxDay', 'GOPTaxScam'}"
Will Hurd,1,{'TheHillLatinoEdu'}
Susan W. Brooks,1,"{'TaxDay', 'smallbiz'}"
Bobby L. Rush,0,"{'TaxDay', 'GOPTaxScam'}"
Marcy Kaptur,0,"{'TaxDay', 'GOPTaxScam'}"
Brian Higgins,0,{'BNWBuffaloRiver'}
Markwayne Mullin,1,{'SubEnergy'}
Lloyd Doggett,0,{'SpecialCounsel'}
Ruben Gallego,0,{'TSU2018'}
Blaine Luetkemeyer,1,{'taxcutsandjobsact'}
Blaine Luetkemeyer,1,{'taxcutsandjobsact'}
Blaine Luetkemeyer,1,{'taxcutsandjobsact'}
Blaine Luetkemeyer,1,{'taxcutsandjobsact'}
Blaine Luetkemeyer,1,{'taxcutsandjobsact'}
Blaine Luetkemeyer,1,{'taxday'}
Steve Scalise,1,{'TaxDay'}
Nancy Pelosi,0,{'TaxDay'}
Bennie G. Thompson,0,"{'TaxDay', 'GOPTaxScam'}"
Marcy Kaptur,0,"{'TaxDay', 'GOPTaxScam'}"
Joyce Beatty,0,"{'TaxDay', 'GOPTaxBill'}"
Steve Scalise,1,"{'TaxDay', 'TaxReform'}"
Doug Collins,1,"{'TaxDay', 'taxreform'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Kevin McCarthy,1,"{'TaxDay', 'IRS'}"
Kevin McCarthy,1,"{'TaxpayerFirst', 'IRS'}"
Joyce Beatty,0,{'TaxDay'}
Susan W. Brooks,1,{'IRS'}
Lloyd Doggett,0,"{'TaxDay', 'TaxScam'}"
Joaquin Castro,0,"{'Skripalpoisoning', 'Russia'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Nancy Pelosi,0,{'TaxDay'}
Nancy Pelosi,0,{'GOPTaxScam'}
Steve Scalise,1,{'TaxDay'}
Daniel Webster,1,{'Shark'}
Daniel Webster,1,{'TaxCutsandJobsAct'}
Steve Scalise,1,"{'TaxDay', 'TaxCutsandJobsAct'}"
Brenda Lawrence,0,{'goptaxscam'}
Jeff Fortenberry,1,{'IdentityTheft'}
Albio Sires,0,{'TaxDay'}
Albio Sires,0,{'GOPTaxScam'}
Steve Scalise,1,"{'TaxDay2018', 'TaxCutsJobsAct'}"
Doug Collins,1,{'TradeSecrets'}
Robert Aderholt,1,{'Agriculture'}
Mario Diaz-Balart,1,{'Brigada2506'}
Steve Scalise,1,{'LA03'}
Nancy Pelosi,0,"{'TaxDay', 'GOPTaxScam'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Joyce Beatty,0,{'TaxDay'}
Joyce Beatty,0,{'TuneIn'}
James E. Clyburn,0,"{'TaxDay', 'GOPTaxScam'}"
Ruben Gallego,0,{'TaxDay'}
Bobby L. Rush,0,"{'SNAP', 'protectSNAP'}"
John Garamendi,0,{'Syria'}
Earl Blumenauer,0,"{'TaxDay', 'GOPTaxScam'}"
Earl Blumenauer,0,"{'TaxDay', 'GOPTaxScam'}"
Earl Blumenauer,0,{'TaxDay'}
Earl Blumenauer,0,"{'TaxDay', 'GOPTaxScam'}"
Ted Yoho,1,{'TaxCutsandJobsAct'}
Lloyd Doggett,0,{'TaxMarch'}
Steve Scalise,1,"{'TaxDay', 'tax'}"
Steve Scalise,1,"{'IN09', 'TaxReform'}"
Jeff Fortenberry,1,{'FarmBill'}
Tom Reed,1,"{'WHD2018', 'WorldHemophiliaDay'}"
David Rouzer,1,"{'taxreform', 'NC07', 'TaxCutsandJobsAct', 'taxday'}"
David Rouzer,1,"{'TaxDay', 'taxreform'}"
David Rouzer,1,"{'taxreform', 'NC07'}"
David Rouzer,1,"{'taxreform', 'NC07', 'TaxCutsandJobsAct', 'taxday'}"
Joaquin Castro,0,{'Russia'}
Joaquin Castro,0,"{'SyriaStrike', 'Syria'}"
Mark DeSaulnier,0,{'GOPTaxScam'}
Joe Wilson,1,{'TaxCutsandJobsAct'}
Steve Cohen,0,"{'Mueller', 'Rosenstein', 'FBI', 'DOJ', 'Trump'}"
Steve Scalise,1,{'TaxDay'}
Susan W. Brooks,1,{'TaxDay'}
Ann Wagner,1,{'TaxCutsandJobsAct'}
Tom Emmer,1,"{'TaxCutsWork', 'TaxCutsandJobsAct'}"
Grace Meng,0,{'TaxDay'}
Grace Meng,0,{'BarbaraBush'}
Virginia Foxx,1,{'BarbaraBush'}
Mark Walker,1,{'CJReform'}
Michael McCaul,1,"{'Russia', 'BostontoAustin'}"
Mike Rogers,1,"{'2018FarmBill', 'SNAPmatters', 'Ag', 'AL03'}"
Earl Blumenauer,0,{'FarmBill'}
Earl Blumenauer,0,{'FarmBill'}
Trey Hollingsworth,1,"{'IFDAIWIC', 'DRIVESafeAct'}"
David Rouzer,1,{'2018Farmbill'}
