name,partisan_score,hashtags
Mark DeSaulnier,0,{'ACCCHillDay'}
Joaquin Castro,0,"{'NationalWalkoutDay', 'Americans'}"
Justin Amash,1,{'HR4909'}
Joaquin Castro,0,{'Democrats'}
Joaquin Castro,0,"{'Republicans', 'Russia'}"
Joaquin Castro,0,{'Japan'}
Joaquin Castro,0,"{'Japan', 'SanAntonio', 'Texas'}"
Joaquin Castro,0,{'Japan'}
Joaquin Castro,0,"{'SoutheastAsia', 'Burma', 'Philippines', 'Duterte', 'Japan', 'Rohingya', 'HumanRights'}"
Eliot Engel,0,{'NationalWalkoutDay'}
Louie Gohmert,1,"{'RexTillerson', 'SanctuaryCities', 'LarryKudlow'}"
Mark Takano,0,{'NationalWalkoutDay'}
Tom Reed,1,{'STOPSchoolViolenceAct'}
Marcy Kaptur,0,{'WomensHistor'}
Joyce Beatty,0,{'WomensHistor'}
Dina Titus,0,{'TeamTitus'}
Sean Patrick Maloney,0,"{'gunviolence', 'assaultweapons', 'NICS'}"
Susan W. Brooks,1,"{'lawenforcement', 'mentalhealth'}"
Marcy Kaptur,0,{'HERstory'}
Joaquin Castro,0,"{'NationalStudentWalkout', 'Russia', 'NationalWalkoutDay', 'Democrats'}"
Tom Emmer,1,"{'HMDAA', 'Relief4MainStreet'}"
Suzanne Bonamici,0,"{'NationalWalkoutDay', 'NeverAgain'}"
Steve Scalise,1,"{'UnitedKingdom', 'Russia'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Michael McCaul,1,"{'Iran', 'FEMA', 'Russia'}"
Joe Wilson,1,{'PublicSchoolsWeek'}
Joaquin Castro,0,{'democracy'}
Louie Gohmert,1,{'EnergyDominance'}
Lloyd Doggett,0,{'NoTaxBreaks4Outsourcing'}
Nancy Pelosi,0,{'GOPTaxScam'}
Nancy Pelosi,0,"{'enough', 'NeverAgain'}"
Mark Takano,0,{'PROSPERAct'}
Doug Collins,1,{'Russia'}
Thomas Massie,1,{'sassywithmassie'}
Adam Kinzinger,1,{'Russia'}
Tom Graves,1,"{'CHOICEact', 'DoddFrank'}"
Tom Graves,1,"{'S2155', 'DoddFrank'}"
Rosa DeLauro,0,{'JusticeforJane'}
James E. Clyburn,0,{'PublicSchoolsWeek'}
Albio Sires,0,{'PublicSchoolsWeek'}
Rosa DeLauro,0,"{'LovePublicEducation', 'PublicSchoolsWeek'}"
Louie Gohmert,1,{'WhiteHouse'}
Denny Heck,0,{'NCAATourney'}
Steve Cohen,0,"{'NationalWalkoutDay', 'Memphis'}"
Sean Patrick Maloney,0,"{'NationalPublicSchoolsWeek', 'RT'}"
Tom Emmer,1,{'CHC2018'}
Suzanne Bonamici,0,"{'TheMoreYouNOAA', 'oceans', 'coasts', 'saveourblueplanet'}"
Susan W. Brooks,1,"{'ZPD', 'DrugTakeBack'}"
Joaquin Castro,0,"{'SanAntonio', 'Texans'}"
Joaquin Castro,0,"{'Mueller', 'Texas', 'Russian'}"
Robin Kelly,0,"{'NotoriousRBG', 'HappyBirthdayRBG'}"
Gus Bilirakis,1,{'cysticfibrosis'}
Joaquin Castro,0,"{'Mueller', 'Russia'}"
Suzanne Bonamici,0,{'WorkStudy'}
Brian Higgins,0,"{'marchmadness', 'UBDancing'}"
Mike Kelly,1,"{'battery', 'Tesla'}"
Steve Scalise,1,{'PlaybookPool'}
Sean Patrick Maloney,0,{'ROC'}
Sean Patrick Maloney,0,{'ROC'}
Mario Diaz-Balart,1,"{'FIUBridgeCollapse', 'UPDATE', 'MDPD'}"
Louie Gohmert,1,{'Texas'}
Mark DeSaulnier,0,{'PTALegCon'}
Steve Cohen,0,{'GOPTaxScam'}
Steve Cohen,0,"{'GOP', 'HouseIntelligenceCommittee'}"
Lee Zeldin,1,{'OutnumberedOT'}
Jeff Fortenberry,1,{'StateDECA'}
Albio Sires,0,"{'WestPoint', 'USMA'}"
Joe Wilson,1,{'TaxCutsandJobsAct'}
Adam Kinzinger,1,{'Syria'}
Joaquin Castro,0,{'McCabe'}
Joaquin Castro,0,{'McCabe'}
Joaquin Castro,0,{'AndrewMcCabe'}
Sheila Jackson Lee,0,{'McCabeFired'}
Joaquin Castro,0,"{'txed', 'txlege'}"
Grace Meng,0,"{'Irish', 'StPatricksDay'}"
Jackie Speier,0,{'McCabe'}
Jackie Speier,0,{'MarchMadness2018'}
Jackie Speier,0,{'NRA'}
Brian Higgins,0,"{'NCAA', 'marchmadness', 'buffalove'}"
Eliot Engel,0,{'StPatricksDay'}
Seth Moulton,0,{'HappyStPatricksDay'}
Steve Cohen,0,"{'basketball', 'PennyHardaway', 'Memphis', 'TSSAA'}"
Steve Cohen,0,"{'HRes621', 'Impeachment', 'MuellerIndictments'}"
Ruben Gallego,0,{'BearsEars'}
Joyce Beatty,0,"{'MarchMadness', 'GoBucks'}"
Joaquin Castro,0,{'LauraMonterrosa'}
Ruben Gallego,0,{'BearsEarsPrayerRunAlliance'}
Justin Amash,1,{'GoBlue'}
Joaquin Castro,0,"{'MuellerInvestigation', 'NorthKoreaTalks', 'McCabeFiring'}"
Steve Cohen,0,"{'Mueller', 'McCabe', 'impeachment'}"
Ruben Gallego,0,{'BearsEars'}
Ruben Gallego,0,{'BearsEarsPrayerRunAlliance'}
Mike Kelly,1,"{'energy', 'storage'}"
Hakeem Jeffries,0,{'ABetterDeal'}
Jim Cooper,0,{'MakingOurCASE'}
Steve Scalise,1,{'LiftTheBan'}
Bill Johnson,1,"{'SmallBiz', 'TaxReform'}"
Joe Wilson,1,"{'SmallBiz', 'TaxReform'}"
Joaquin Castro,0,{'txlege'}
Eliot Engel,0,"{'HR3654', 'MuellerInvestigation'}"
Joaquin Castro,0,"{'AustinPD', 'austinexplosion', 'AustinExplosions'}"
Steve Cohen,0,{'Mueller'}
Steve Cohen,0,{'FireproofMueller'}
Robin Kelly,0,"{'OnwardLU', 'Sweet16'}"
Rosa DeLauro,0,{'SNAP'}
Mark Takano,0,{'WomenMakeHistory'}
Lloyd Doggett,0,"{'Austin', 'AustinBombings'}"
Michael McCaul,1,{'AustinBombings'}
Suzanne Bonamici,0,{'WomenMakeHistory'}
Mario Diaz-Balart,1,"{'Venezuela', 'Maduro'}"
Jeff Fortenberry,1,{'defense'}
Tom Emmer,1,{'STRESS'}
Steve Cohen,0,{'McCabe'}
Joaquin Castro,0,{'ProtectMueller'}
Michael McCaul,1,{'AustinBombings'}
Doug Collins,1,"{'NationalPoultryDay', 'GA09'}"
Ken Calvert,1,{'SOTU'}
Ken Calvert,1,{'LiftTheBan'}
Mike Quigley,0,"{'CambridgeAnalytica', 'RussiaInvestigation'}"
Ann Wagner,1,{'FOSTA'}
Donald Norcross,0,{'opioidepidemic'}
Rob Woodall,1,"{'TaxCutsandJobsAct', 'TaxReform'}"
Brian Higgins,0,"{'hornsup', 'sweet16bound', 'buffalove'}"
Bennie G. Thompson,0,"{'AustinBomber', 'Austin', 'AustinBombings', 'Mississippi'}"
Susan W. Brooks,1,"{'FirstDayofSpring', 'passport'}"
Kevin McCarthy,1,{'AgDay'}
Thomas Massie,1,{'sassywithmassie'}
David Rouzer,1,"{'NationalAgDay', 'NationalAgWeek'}"
David Rouzer,1,{'AgDay'}
Grace Meng,0,{'2020census'}
Grace Meng,0,{'2020census'}
Grace Meng,0,{'2020census'}
Grace Meng,0,{'2020census'}
José E. Serrano,0,"{'nyc', '2020census'}"
Bill Johnson,1,{'AgDay'}
José E. Serrano,0,{'PuertoRicans'}
José E. Serrano,0,{'PuertoRico'}
Bill Johnson,1,{'NationalAgDay'}
Joe Wilson,1,{'PoisonPrevention'}
Joaquin Castro,0,{'TrumpRussiaScandal'}
Scott DesJarlais,1,{'AgDay'}
Grace Meng,0,{'2020census'}
Richard Hudson,1,"{'WNC', 'ncwx'}"
Grace Meng,0,{'2020census'}
Joaquin Castro,0,"{'PuertoRico', 'HurricaneMaria', '6MonthsAfterMaria'}"
Katherine Clark,0,{'Parkland'}
Eliot Engel,0,"{'Colombia', 'Venezuelan'}"
Lloyd Doggett,0,{'MarchForOurLives'}
Eliot Engel,0,{'WorldTBDay'}
Blaine Luetkemeyer,1,{'AgDay'}
Albio Sires,0,{'6MonthsAfterMaria'}
Suzanne Bonamici,0,"{'STEAMDayofAction', 'STEAM'}"
Mike Quigley,0,{'LGBTQ'}
Mario Diaz-Balart,1,"{'TaxCutsandJobsAct', 'smallbiz'}"
Earl Blumenauer,0,{'AgDay'}
Earl Blumenauer,0,{'AgDay'}
Earl Blumenauer,0,{'AgDay'}
Earl Blumenauer,0,{'AgDay'}
Earl Blumenauer,0,{'AgDay'}
Judy Chu,0,{'EnoughIsEnough'}
Judy Chu,0,{'EndTheLies'}
Jeff Fortenberry,1,{'NationalAgDay'}
Mike Quigley,0,{'transgender'}
Nancy Pelosi,0,{'ProtectOurDemocracy'}
Joaquin Castro,0,{'Russia'}
Mark DeSaulnier,0,{'NotOneMore'}
Joaquin Castro,0,{'HurricaneHarvey'}
Louie Gohmert,1,{'AustinBombings'}
James E. Clyburn,0,"{'votingrights', 'Selma', 'bloodysunday'}"
Michael McCaul,1,{'AustinBombings'}
Joaquin Castro,0,{'AustinBombings'}
Marcy Kaptur,0,{'SteelCaucus'}
Mo Brooks,1,{'aiaacvd'}
Eliot Engel,0,{'Trump'}
Rob Woodall,1,"{'FairTax', 'TaxCutsAndJobsAct', 'TaxReform', 'HR25'}"
Joyce Beatty,0,{'ABetterDeal'}
Eliot Engel,0,{'Kosovo'}
Grace Meng,0,{'CivilRights'}
Steve Cohen,0,{'AshcroftInAmerica'}
Sean Patrick Maloney,0,{'POTUS'}
Mike Rogers,1,{'AL03'}
Kevin McCarthy,1,{'Hoosier'}
Mark DeSaulnier,0,"{'LGBTQ', 'LetKidsLearn'}"
Brenda Lawrence,0,{'DoYourJob'}
Eliot Engel,0,{'Trump'}
Ruben Gallego,0,"{'SNDA', 'LetKidsLearn'}"
Bill Johnson,1,{'AskBillJohnson'}
James E. Clyburn,0,"{'SC', 'MadeInSC', 'EqualPay', 'payequity'}"
Thomas Massie,1,{'sassywithmassie'}
Ann Wagner,1,{'FOSTA'}
Richard Hudson,1,{'WorldDownSyndromeDay'}
Lloyd Doggett,0,"{'HumaneScorecard', 'SnowDay'}"
Joaquin Castro,0,{'ASEAN'}
Ann Wagner,1,"{'FOSTA', 'SESTA'}"
Joaquin Castro,0,{'Texas'}
Joaquin Castro,0,"{'Mueller', 'TX', 'Texas'}"
Seth Moulton,0,{'MarchForOurLives'}
Richard Hudson,1,{'SubHealth'}
Richard Hudson,1,{'SubHealth'}
Louie Gohmert,1,"{'austinbombings', 'mueller', 'omnibus'}"
Joaquin Castro,0,{'SB4'}
Susan W. Brooks,1,{'TaxCutsandJobsAct'}
Susan W. Brooks,1,{'SubHealth'}
Ann Wagner,1,"{'FOSTA', 'SESTA'}"
Michael McCaul,1,{'AustinBombings'}
Denny Heck,0,{'WA10'}
Kevin McCarthy,1,"{'downysndrome', 'WDSD18'}"
Dina Titus,0,"{'Nuclear', 'YuccaMountain', 'Omnibus'}"
Dina Titus,0,{'NationalServiceWorks'}
Rosa DeLauro,0,{'TipTheft'}
Steve Cohen,0,"{'ProtectMuellerInvestigation', 'MuellerProbe', 'Memphis', 'HR4669', 'ImpeachTrumpNowASAP', 'ResistTrump', 'ProtectMuellerNow'}"
Mike Kelly,1,{'Tathra'}
Louie Gohmert,1,"{'Mueller', 'omnibus'}"
Steve Cohen,0,{'Mueller'}
Bill Johnson,1,"{'TNA', 'Laura_Wilson'}"
Michael McCaul,1,{'AustinBombings'}
Eliot Engel,0,{'HurricaneMaria'}
Bennie G. Thompson,0,{'MarchForOurLives'}
Richard Hudson,1,{'SubHealth'}
Justin Amash,1,"{'HR1625', 'HRes796'}"
Eliot Engel,0,{'TrumpCuts'}
Mark Takano,0,{'NetNeutrality'}
Ann Wagner,1,"{'FOSTA', 'SESTA'}"
Mario Diaz-Balart,1,"{'infrastructure', 'housing'}"
Nancy Pelosi,0,{'ProtectOurCare'}
Nancy Pelosi,0,{'ProtectOurCare'}
Justin Amash,1,{'HR1625'}
Mario Diaz-Balart,1,{'transport'}
Dina Titus,0,"{'NevadaStrong', 'EqualityVoter', 'VegasLocals', 'HRCOnTheHill'}"
Tom Graves,1,{'omni'}
Justin Amash,1,{'omnibus'}
Mario Diaz-Balart,1,"{'FL25', 'Transportation'}"
Tom Graves,1,{'MakeAmericaGreatAgain'}
Seth Moulton,0,{'omnibus'}
Seth Moulton,0,{'MA6'}
Tom Graves,1,{'Georgia'}
Seth Moulton,0,{'MA6'}
Thomas Massie,1,{'omnibus'}
Joe Wilson,1,{'TaxCutsandJobsAct'}
Seth Moulton,0,{'omnibus'}
Louie Gohmert,1,{'omnibus'}
Bennie G. Thompson,0,"{'OnTheRecord', 'MS02', 'Congress'}"
Dina Titus,0,"{'DREAMact', 'DACA'}"
Marcy Kaptur,0,{'GLRI'}
Eliot Engel,0,"{'omnibusbill', 'DREAMers'}"
Denny Heck,0,{'TB6'}
Nancy Pelosi,0,{'Putin'}
Nancy Pelosi,0,{'ProtectOurDemocracy'}
Susan W. Brooks,1,"{'SubHealth', 'opioid', 'publichealth'}"
Susan W. Brooks,1,{'opioid'}
Susan W. Brooks,1,"{'opioidepidemic', 'behindthescenes'}"
Susan W. Brooks,1,{'healthcare'}
Donald Norcross,0,{'NewDems'}
Lloyd Doggett,0,{'LSCmatters'}
Eliot Engel,0,"{'EqualityAct', 'LGBTQ'}"
Mike Quigley,0,"{'Dreamers', 'DACA', 'omnibus', 'immigrants'}"
Mike Quigley,0,"{'DACA', 'gunviolence', 'omnibus'}"
Mike Quigley,0,"{'UASI', 'Chicago'}"
Mike Quigley,0,{'EAC'}
Suzanne Bonamici,0,"{'PublicSchools', 'opioidscrisis', 'environment', 'workingfamilies'}"
Suzanne Bonamici,0,"{'childcare', 'workingfamilies'}"
